"","SITE","COUNTRY","YEAR","G1_YA","G2_YA","L1_YA","L2_YA","WEED_YA","HARV_YA"
"1",1,"Belgium",2003,0.881505768265625,0.772059714046875,1.37284013567187,0.414044522177083,0.140823131828125,3.58127327190104
"2",1,"Belgium",2004,1.18878688499306,1.59393693927778,2.89339427884722,0.340766696631944,0.0571717606041667,6.07405656027778
"3",1,"Belgium",2005,0.599412279067708,2.41831066597396,0.8104193400625,0.144780037744792,0.175363721880208,4.14828604466667
"4",7,"Finland",2004,1.19524259614583,0.742668845284722,0.412744125270833,0.186542729972222,0.306673848638889,2.84480358795833
"5",7,"Finland",2005,0.853388551506944,0.971602349736111,0.66990575475,0.298302694243056,0.254449145222222,3.04764849536806
"6",9,"France",2004,0.737987790097222,0.0805459661875,0.563549846569444,0.7941717403125,0.871837108138889,3.04809274583333
"7",9,"France",2005,1.13909429855208,0.226964956572917,0.879332775052083,1.22582375397917,1.35958520547917,4.83080098952083
"8",9,"France",2006,0.996642300263889,0.125818949256944,0.759986686625,1.06086549697917,0.9408350125,3.88414844561806
"9",10,"Germany_a",2004,NA,NA,NA,NA,NA,4.1284
"10",10,"Germany_a",2005,1.17459516378,0.936802070913333,0.225323277,0.12631882284,0.228876729753333,2.69191606422667
"11",10,"Germany_a",2006,0.7962969831,1.25662583606667,0.0561904073133333,0.0837718730866667,0.3293768108,2.52226191030667
"12",11,"Germany_b",2005,1.45706305755,0.52641863265,0.943472046683333,0.27254283655,0.3478968792,3.54739345245
"13",11,"Germany_b",2006,0.621777382591667,0.717571653258333,0.545136578758333,0.103535611066667,0.84696777325,2.83498899883333
"14",13,"Iceland_a",2003,0.894405537105263,0.463857601657895,0.2369042785,0.0987302425964912,0.28428216472807,1.9781798245614
"15",13,"Iceland_a",2004,0.489691033798246,0.437264676921053,0.0868436734122807,0.137641246912281,0.271278667403509,1.42271929824561
"16",13,"Iceland_a",2005,0.3215828185,0.495781808482456,0.0320853320789474,0.245153563780702,0.312282442210526,1.40688596491228
"17",14,"Iceland_b",2004,NA,NA,NA,NA,NA,NA
"18",14,"Iceland_b",2005,NA,NA,NA,NA,NA,NA
"19",14,"Iceland_b",2006,NA,NA,NA,NA,NA,NA
"20",15,"Ireland_a",2004,NA,NA,NA,NA,NA,3.13229305631613
"21",15,"Ireland_a",2005,NA,NA,NA,NA,NA,2.81483440860968
"22",15,"Ireland_a",2006,NA,NA,NA,NA,NA,2.05805376342258
"23",16,"Italy",2003,0.260524849466667,0.0482341666666667,0.210849158525,0.139910932616667,0.0843052866166667,0.743824393825
"24",16,"Italy",2004,0.313835811053333,0.40620051412,0.0623840929866667,0.387017720633333,0.333754375493333,1.50319251449333
"25",16,"Italy",2005,0.0630736181133333,0.563657964753333,0.0177841382133333,0.55153736722,0.23417918598,1.43023227418667
"26",18,"Lithuania_a",2003,0.446229166666667,0.149173611111111,0.398527777777778,NA,0.598166666666667,1.74634722222222
"27",18,"Lithuania_a",2004,0.650412777777778,1.00431840277778,0.478768611111111,0.192287847222222,0.487337361111111,2.813125
"28",18,"Lithuania_a",2005,0.162161111111111,0.6218875,0.144766666666667,0.115540972222222,0.463213194444444,1.50756944444444
"29",19,"Lithuania_b",2004,0.854112708333333,1.51794069444444,NA,0.112466875,0.534031902777778,3.37042836111111
"30",19,"Lithuania_b",2005,0.2687625,2.18571145833333,0.0582458333333333,0.00834895833333333,0.590285416666667,3.11135416666667
"31",19,"Lithuania_b",2006,0.0222963541666667,1.37330614583333,0.00420052083333333,0.0011403125,0.857761916666667,2.25870525
"32",20,"Lithuania_c",2004,1.08576180555556,1.493375625,0.622425277777778,0.160669583333333,0.1538325,3.51606479166667
"33",20,"Lithuania_c",2005,0.219377777777778,1.67176458333333,0.0924388888888889,0.0297159722222222,0.228034722222222,2.24133194444444
"34",20,"Lithuania_c",2006,0.014228125,1.687626875,0.00115697916666667,0.0007915625,0.6795528125,2.38335635416667
"35",21,"Netherlands",2004,NA,NA,NA,NA,NA,NA
"36",21,"Netherlands",2005,NA,NA,NA,NA,NA,NA
"37",21,"Netherlands",2006,NA,NA,NA,NA,NA,NA
"38",22,"Norway_a",2004,0.822813008840278,0.82625076225,2.02406137402778,0.666155204805556,0.0213609221458333,4.36064109976389
"39",22,"Norway_a",2005,0.253652628493056,1.48085796664583,1.01126272207639,0.395012678,0.131718939256944,3.27250521304861
"40",22,"Norway_a",2006,0.2820951085,1.94971748127083,0.280229877958333,0.476718951472222,0.177526885819444,3.16628774888194
"41",23,"Norway_b",2003,NA,NA,NA,NA,NA,NA
"42",23,"Norway_b",2004,1.55459540215,1.22358626721667,0.568168550983333,0.469179915466667,0.337214957833333,4.15274521445
"43",23,"Norway_b",2005,NA,NA,NA,NA,NA,NA
"44",23,"Norway_b",2006,NA,NA,NA,NA,NA,3.41780181626667
"45",24,"Norway_c",2003,1.50432222222222,0.651911111111111,1.05404444444444,0.3256,0.218866666666667,3.75474444444444
"46",24,"Norway_c",2004,NA,NA,NA,NA,NA,3.75076666666667
"47",24,"Norway_c",2005,0.518233333333333,2.55771111111111,0.00871111111111111,0.0291222222222222,0.509877777777778,3.62365555555556
"48",25,"Norway_d",2004,2.45770874167045,0.465181837352273,0.910788346136364,0.663569112636364,0.358220184056818,4.85546822172727
"49",25,"Norway_d",2005,1.57897530605682,1.18918832326136,0.453786368,0.547606122795455,0.221880183068182,3.99143630319318
"50",25,"Norway_d",2006,0.662418107590909,1.02057782207955,0.278379153329545,0.262603836420455,0.314296095579545,2.53827501484091
"51",26,"Poland_a",2004,1.126717408575,0.176170466416667,0.17913130505,0.093674580125,0.422963242108333,1.99865700225
"52",26,"Poland_a",2005,1.00796284129167,1.12809507143333,0.131062138875,0.0920667539833333,0.116493789691667,2.475680555525
"53",26,"Poland_a",2006,0.332041889677778,1.45426171524444,0,0.00283463544444444,0.265388022388889,2.0545262628
"54",27,"Poland_b",2005,1.43899344545833,1.20637028541667,0.296138791691667,0.114957208066667,0.073258523325,3.12971825394167
"55",27,"Poland_b",2006,0.399894579788889,1.1207226431,0.0147605242333333,0.0102123330888889,0.397339840444444,1.94292992066667
"56",28,"Spain_a",2004,1.6208510495,0.120381702144444,0.00831229012222222,0.0835108433444444,0.356106873111111,2.18916275825556
"57",28,"Spain_a",2005,0.0837509333333333,0.146572533333333,0,0.0405372,0.188481253333333,0.45934192
"58",28,"Spain_a",2006,0.03859,0.245888,0.000626666666666667,0.0618333333333333,0.322497333333333,0.669435333333333
"59",30,"Spain_b",2004,0.393572249011111,0.169055651844444,0.983227073422222,0.237463924055556,0.266103881344444,2.0494227796
"60",31,"Sweden_a",2003,1.15801840985417,1.17660379677083,0.710584367166667,0.431095670076389,0.0395457068402778,3.51584795063194
"61",31,"Sweden_a",2004,0.301398611111111,2.01309375,0.520702777777778,0.419028472222222,0.0840875,3.33831111111111
"62",31,"Sweden_a",2005,0.181454017340278,1.97689519914583,0.113037016875,0.396396269458333,0.120088635493056,2.78679102629167
"63",32,"Sweden_b",2004,0.512370807472222,1.02237516488194,1.01791389277083,0.499141594791667,0.0198663551180556,3.07166781495139
"64",32,"Sweden_b",2005,0.115991404951389,1.12457020759028,0.649076406923611,0.496614451659722,0.0462640630555556,2.43251653407639
"65",32,"Sweden_b",2006,0.0679360538263889,1.19810954306944,0.0660345903541667,0.233284620506944,0.144589870638889,1.70995467836111
"66",33,"Sweden_c",2004,1.49971549921667,0.42574356185,1.86282053051667,0.344187913966667,0.145535486016667,4.2780029915
"67",33,"Sweden_c",2005,0.7654891041,0.799394858233333,1.25855567446667,0.221686594311111,0.0404656463222222,3.08559187741111
"68",33,"Sweden_c",2006,0.22314244775,1.09191474958333,1.01571224325,0.1392379382,0.0227219022833333,2.49272928088333
"69",34,"Switzerland",2003,NA,NA,NA,NA,NA,2.75376427237273
"70",34,"Switzerland",2004,NA,NA,NA,NA,NA,2.71726902358485
"71",34,"Switzerland",2005,NA,NA,NA,NA,NA,2.41396700335758
"72",35,"Wales_a",2003,0.344311042431818,0.237748987085227,1.16880581509091,0.443153775,0.159681187846591,2.3537008073125
"73",35,"Wales_a",2004,0.294437600943182,0.986112194767045,0.882588256306818,0.490482377744318,0.169075586079545,2.82269601579545
"74",35,"Wales_a",2005,0.0590153512840909,1.22525089836364,0.216221980573864,0.0887357934545455,0.191004320329545,1.78022834402841
"75",35,"Wales_a",2006,0.0483241711420455,1.03527016051136,0.102934304693182,0.0484252633806818,0.210776535005682,1.44573043464205
"76",36,"Wales_b",2004,0.6529846475625,0.47019317728125,0.390043630390625,0.350334873453125,0.433897360526042,2.29745368880208
"77",36,"Wales_b",2005,0.686645808125,1.62605129658333,0.2130017786875,0.464384428340278,0.391554049298611,3.38163736095139
"78",36,"Wales_b",2006,0.15553809378125,1.32327192140625,0.0947263596354167,0.346175484546875,0.316479903302083,2.23619176266667
"79",40,"Slovenia",2006,1.1306156519386,0.240679312320175,1.10397208236842,0.316115414092105,0.134255757662281,2.92563821833772
"80",40,"Slovenia",2007,NA,NA,NA,NA,NA,2.31691615042544
"81",43,"Ireland_b",2006,0.275670981973214,0.372289036678571,0.480517687122024,0.0258907245535714,0.127988731178571,1.28235716146726
"82",43,"Ireland_b",2007,0.332319463345238,0.544539975925595,0.327770728982143,0.014659675375,0.234353927011905,1.45364377047917
"83",44,"Ireland_c",2006,0.259896458479167,0.522098904357143,0.273892869244048,0.0082303634375,0.181023402863095,1.24514199829167
"84",44,"Ireland_c",2007,0.396772137857143,0.821963019928571,0.259454135916667,0.00488813835119048,0.242997107934524,1.72607453988988
"85",45,"Ireland_d",2010,NA,NA,NA,NA,NA,1.982029975825
"86",45,"Ireland_d",2011,NA,NA,NA,NA,NA,2.2471757000375
"87",46,"Ireland_e",2007,NA,NA,NA,NA,NA,3.26536607142857
"88",46,"Ireland_e",2008,NA,NA,NA,NA,NA,5.35547767857143
"89",46,"Ireland_e",2009,NA,NA,NA,NA,NA,3.6331875
"90",52,"Canada",2005,NA,NA,NA,NA,NA,NA
"91",52,"Canada",2006,1.29586224196875,0.83843979021875,0.266648573614583,0.0912784378020833,0.650755531958333,3.14298457551042
"92",52,"Canada",2007,0.978437776447917,1.08707686639583,0.00537742833333333,0.00446586946875,0.61930054425,2.69465848485417
